 1224  F   F-14-29        62                   0 BOTECCHIA TRAINER    00:33:30 00:32:57    06:35
 2468  F   F-30-39        86                   0                      00:34:45 00:32:57    06:35
 1409  F   F-40-49        87                   0 CORRER E AGRADECER   00:37:43 00:32:57    06:35
 1615  F   F-30-39        87                   0 EQUIPE ENERGIA       00:33:04 00:32:59    06:35
 1622  F   F-60-69         9                   0 EQUIPE ENERGIA       00:33:08 00:32:59    06:35
 1233  F   F-14-29        63                   0 BOX CASTRO           00:34:20 00:33:02    06:36
 1480  F   F-40-49        88                   0 DIVASWUECORREM       00:34:31 00:33:02    06:36
 1926  F   F-14-29        64                   0 I9 CENTRO DE TREINAM 00:34:06 00:33:04    06:36
 1433  F   F-40-49        89                   0 DAKA                 00:33:48 00:33:05    06:36
 1501  F   F-40-49        90                   0 E.C.XV DE NOVEMBRO   00:34:12 00:33:07    06:37
 1945  F   F-40-49        91                   0 IF RUNNING           00:35:17 00:33:09    06:37
 3090  F   F-14-29        65                   0                      00:38:29 00:33:09    06:37
 2221  F   F-30-39        88                   0 SEM EQUIPE           00:34:33 00:33:10    06:37
 1302  F   F-50-59        26                   0 CORREDORAS MARAVILHA 00:35:50 00:33:10    06:37
 1617  F   F-40-49        92                   0 EQUIPE ENERGIA       00:34:52 00:33:11    06:37
 1988  F   F-30-39        89                   0 LIVE+!               00:33:33 00:33:12    06:38
 1833  F   F-30-39        90                   0 HACE S  VAI          00:34:01 00:33:12    06:38
 1447  F   F-30-39        91                   0 DINAMITE             00:35:01 00:33:12    06:38
 2282  F   F-14-29        66                   0 SPORT MIND           00:38:32 00:33:14    06:38
 2483  F   F-30-39        92                   0                      00:34:26 00:33:15    06:39
 3221  F   F-40-49        93                   0                      00:33:25 00:33:16    06:39
 2832  F   F-40-49        94                   0                      00:35:31 00:33:17    06:39
 1805  F   F-30-39        93                   0 FT ASSESSORIA ESPORT 00:33:48 00:33:19    06:39
 1880  F   F-14-29        67                   0 HELOISA              00:34:13 00:33:19    06:39
 3265  F   F-14-29        68                   0                      00:35:21 00:33:19    06:39
 3098  F   F-40-49        95                   0                      00:35:40 00:33:19    06:39
 1297  F   F-40-49        96                   0 CORREDORAS MARAVILHA 00:37:58 00:33:20    06:39
  199  F   F-40-49        97                   0 EQUIPE BILL          00:35:03 00:33:21    06:40
 2351  F   F-40-49        98                   0 TOP ENERGY RUN       00:33:23 00:33:22    06:40
 3300  F   F-14-29        69                   0                      00:40:24 00:33:23    06:40
 3049  F   F-30-39        94                   0                      00:38:10 00:33:24    06:40
 2157  F   F-30-39        95                   0 RIO BRANCO RUNNERS   00:34:49 00:33:27    06:41
 2696  F   F-40-49        99                   0                      00:35:44 00:33:27    06:41
 1906  F   F-40-49       100                   0 I9 CENTRO DE TREINAM 00:34:17 00:33:28    06:41
 2398  F   F-30-39        96                   0 VELOCY TEAM          00:37:30 00:33:29    06:41
 3188  F   F-14-29        70                   0                      00:40:28 00:33:30    06:42
 1757  F   F-50-59        27                   0 FAST CORREDORES      00:33:54 00:33:31    06:42
 1331  F   F-40-49       101                   0 CORRENTE DO BEM RUN  00:34:04 00:33:33    06:42
 2155  F   F-40-49       102                   0 RIO BRANCO RUNNERS   00:34:55 00:33:33    06:42
 2891  F   F-30-39        97                   0                      00:34:49 00:33:34    06:42
 2073  F   F-50-59        28                   0 OS DESPREPARADOS DE  00:38:33 00:33:35    06:42
 3011  F   F-40-49       103                   0                      00:41:35 00:33:36    06:43
 1219  F   F-30-39        98                   0 BOTECCHIA TRAINER    00:34:15 00:33:37    06:43
 2564  F   F-40-49       104                   0                      00:35:18 00:33:37    06:43
 2440  F   F-30-39        99                   0                      00:34:19 00:33:38    06:43
 1954  F   F-14-29        71                   0 JANA                 00:34:37 00:33:38    06:43
 2771  F   F-40-49       105                   0                      00:34:11 00:33:41    06:43
 2892  F   F-40-49       106                   0                      00:35:18 00:33:41    06:43
 1551  F   F-40-49       107                   0 EDER PIRES ASSESSORI 00:33:53 00:33:42    06:44
 1899  F   F-30-39       100                   0 I9 CENTRO DE TREINAM 00:34:44 00:33:43    06:44
 1793  F   F-14-29        72                   0 FRANCINE SANTOS      00:38:40 00:33:44    06:44
 2286  F   F-14-29        73                   0 SPORT MIND           00:34:12 00:33:47    06:45
 1215  F   F-14-29        74                   0 BOTECCHIA TRAINER    00:34:24 00:33:47    06:45
 2528  F   F-40-49       108                   0                      00:39:41 00:33:48    06:45
 2285  F   F-40-49       109                   0 SPORT MIND           00:34:12 00:33:50    06:45
 2333  F   F-30-39       101                   0 T -LENTOS            00:36:59 00:33:50    06:45
 2148  F   F-30-39       102                   0 RAYTECH              00:35:25 00:33:51    06:46
 2766  F   F-14-29        75                   0                      00:36:27 00:33:51    06:46
 3076  F   F-14-29        76                   0                      00:42:24 00:33:51    06:46
 1925  F   F-30-39       103                   0 I9 CENTRO DE TREINAM 00:34:54 00:33:52    06:46
 3287  F   F-30-39       104                   0                      00:35:04 00:33:52    06:46
 1161  F   F-30-39       105                   0 ARA OIABA            00:35:31 00:33:59    06:47
 2643  F   F-30-39       106                   0                      00:35:43 00:34:01    06:48
 1344  F   F-30-39       107                   0 CORRENTE DO BEM RUN  00:34:08 00:34:05    06:48
 1096  F   F-30-39       108                   0 ACM SOROCABA         00:39:32 00:34:05    06:48
 1039  F   F-40-49       110                   0 AASP                 00:37:46 00:34:06    06:49
 1924  F   F-30-39       109                   0 I9 CENTRO DE TREINAM 00:34:15 00:34:07    06:49
 2411  F   F-40-49       111                   0 VICTUS               00:34:11 00:34:08    06:49
 1893  F   F-14-29        77                   0 I9 CENTRO DE TREINAM 00:34:37 00:34:08    06:49
 2687  F   F-30-39       110                   0                      00:35:21 00:34:08    06:49
 1188  F   F-30-39       111                   0 AUCB                 00:34:38 00:34:09    06:49
 1635  F   F-14-29        78                   0 EQUIPE ENERGIA       00:39:57 00:34:09    06:49
 1352  F   F-30-39       112                   0 CORRENTE DO BEM RUN  00:34:41 00:34:12    06:50
 2263  F   F-30-39       113                   0 SOUZA S O PAULO      00:39:42 00:34:12    06:50
 2899  F   F-30-39       114                   0                      00:34:50 00:34:13    06:50
