NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
19/07/1998,MASCULINO,SOROCABA,Nexxus,Informe sua distância: Corrida 5Km
20/07/1983,FEMININO,Votorantim,Mood run,Informe sua distância: Corrida 5Km
28/10/1999,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
06/03/1995,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
28/05/1965,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
02/03/1969,MASCULINO,IBIUNA,team gb,Informe sua distância: Corrida 5Km
06/11/1980,FEMININO,IBIUNA,team gb,Informe sua distância: Corrida 5Km
20/06/1988,MASCULINO,SOROCABA,Lacuruja running ,Informe sua distância: Corrida 5Km
13/06/1974,MASCULINO,SOROCABA,Cavalo Pangare,Informe sua distância: Corrida 5Km
07/12/1982,FEMININO,ALUMINIO,Para começar tá bom ,Informe sua distância: Corrida 5Km
17/12/1980,MASCULINO,ALUMINIO,Para começar tá bom .,Informe sua distância: Corrida 10Km
02/09/1980,MASCULINO,VOTORANTIM,André ,Informe sua distância: Corrida 10Km
11/09/1979,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
20/07/2009,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
13/09/1987,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
04/04/1968,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
27/06/1999,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
21/04/1995,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
10/04/2002,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/12/1975,MASCULINO,ITU,,Informe sua distância: Corrida 5Km
09/01/1989,FEMININO,SOROCABA,Time Kurita,Informe sua distância: Corrida 5Km
04/02/1999,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
28/11/1985,FEMININO,IPERO,,Informe sua distância: Corrida 5Km
23/09/1996,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
14/11/1992,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
27/07/2000,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 5Km
29/06/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
14/04/1997,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 5Km
19/04/1988,FEMININO,VOTORANTIM,FTAssessoria,Informe sua distância: Corrida 5Km
04/11/1989,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
23/11/1984,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
05/03/2003,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
07/10/1986,MASCULINO,LINDOIA,,Informe sua distância: Corrida 10Km
09/12/1989,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
13/02/1991,MASCULINO,SOROCABA,D.run,Informe sua distância: Corrida 5Km
07/10/2005,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
02/02/1992,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
03/01/1997,MASCULINO,IBIUNA,MX,Informe sua distância: Corrida 5Km
09/10/1980,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
30/09/1984,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
22/01/1982,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
21/01/1982,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
07/11/1994,FEMININO,TATUI,Alessandra,Informe sua distância: Corrida 5Km
08/09/1991,MASCULINO,ITU,,Informe sua distância: Corrida 5Km
24/11/1995,FEMININO,SOROCABA,Mood run,Informe sua distância: Corrida 10Km
31/10/1992,MASCULINO,SOROCABA,Mood run,Informe sua distância: Corrida 10Km
06/10/1969,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
22/02/1996,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
12/07/1976,MASCULINO,ALUMINIO,,Informe sua distância: Corrida 5Km
08/05/1989,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 10Km
20/11/1994,FEMININO,Sorocaba,Camila,Informe sua distância: Corrida 5Km
04/03/2000,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
04/02/1983,MASCULINO,SOROCABA,Bem estAR,Informe sua distância: Corrida 10Km
21/10/1991,MASCULINO,PIEDADE,,Informe sua distância: Corrida 5Km
28/03/1977,MASCULINO,SOROCABA,Assis,Informe sua distância: Corrida 10Km
20/12/1953,MASCULINO,SALTO,,Informe sua distância: Corrida 5Km
15/03/1974,MASCULINO,SAO ROQUE,Mulheres Determinadas ,Informe sua distância: Corrida 5Km
17/07/1992,MASCULINO,SOROCABA,Myglan sports,Informe sua distância: Corrida 5Km
31/10/1992,MASCULINO,CAMPINAS,Carol Furriela Team,Informe sua distância: Corrida 10Km
18/07/1983,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
29/09/1991,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
10/11/1993,FEMININO,Araçoiaba da Serra,,Informe sua distância: Corrida 5Km
16/03/1990,FEMININO,BOITUVA,,Informe sua distância: Corrida 5Km
24/10/1967,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
01/09/1978,MASCULINO,MAIRINQUE,,Informe sua distância: Corrida 5Km
30/03/1995,FEMININO,ITAPETININGA,Bora Assessoria ,Informe sua distância: Corrida 10Km
18/11/1993,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
15/02/1979,MASCULINO,PIUMHI,,Informe sua distância: Corrida 5Km
17/11/1993,FEMININO,PIUMHI,irmãos piumhi ,Informe sua distância: Corrida 5Km
24/03/1994,FEMININO,MAIRINQUE,,Informe sua distância: Corrida 10Km
05/01/1992,MASCULINO,ALUMINIO,Rafael Nogueira,Informe sua distância: Corrida 5Km
23/05/1992,MASCULINO,VOTORANTIM,Brave ,Informe sua distância: Corrida 5Km
16/10/1982,FEMININO,CARAPICUIBA,Montanha,Informe sua distância: Corrida 5Km
25/06/1967,MASCULINO,ITU,Avulso,Informe sua distância: Corrida 10Km
09/05/1982,FEMININO,BOITUVA,,Informe sua distância: Corrida 5Km
01/02/2000,MASCULINO,BOITUVA,,Informe sua distância: Corrida 5Km
19/01/1980,MASCULINO,BARRA DO CHAPEU,S/A,Informe sua distância: Corrida 5Km
15/03/1994,FEMININO,SAO ROQUE,BRUNA NATÁLIA ,Informe sua distância: Corrida 10Km
13/05/1990,MASCULINO,SOROCABA,ACTION RUNNERS ,Informe sua distância: Corrida 5Km
02/04/1988,FEMININO,SOROCABA,ACTION RUNNERS ,Informe sua distância: Corrida 5Km
08/04/1998,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
06/05/1979,FEMININO,SOROCABA,PEIXEPRO ,Informe sua distância: Corrida 10Km
21/04/1996,FEMININO,ITU,Equipe da Vovó Lais,Informe sua distância: Corrida 5Km
13/05/1990,MASCULINO,IBIUNA,Leão da Estrada,Informe sua distância: Corrida 5Km
17/12/1989,FEMININO,SOROCABA,Mood Run,Informe sua distância: Corrida 5Km
13/12/1960,FEMININO,Votorantim,,Informe sua distância: Caminhada 3Km
22/02/1976,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
27/10/1989,MASCULINO,SOROCABA,Viver sem fronteira,Informe sua distância: Corrida 5Km
01/08/1970,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
13/06/1988,MASCULINO,BOITUVA,AOB,Informe sua distância: Corrida 5Km
20/02/1992,FEMININO,Itu,Pamela,Informe sua distância: Corrida 10Km
03/10/1982,FEMININO,SAO PAULO,,Informe sua distância: Corrida 5Km
20/12/2000,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
26/01/1982,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
10/02/1985,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
21/11/2004,MASCULINO,SOROCABA,Ynfk,Informe sua distância: Corrida 5Km
09/09/1983,FEMININO,Alumínio,,Informe sua distância: Corrida 5Km
29/06/2000,MASCULINO,SOROCABA,Eden Race,Informe sua distância: Corrida 10Km
22/10/1984,FEMININO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
24/02/1996,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
19/04/1999,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
30/11/1997,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 10Km
22/05/1997,MASCULINO,SOROCABA,Arena black cross,Informe sua distância: Corrida 5Km
28/02/2000,FEMININO,SOROCABA,Arenablackcross ,Informe sua distância: Corrida 5Km
23/03/2004,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
29/06/1983,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
17/03/1993,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
29/03/1984,FEMININO,SOROCABA,Ducorre,Informe sua distância: Corrida 5Km
22/09/1992,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
03/07/1989,MASCULINO,SOROCABA,Shark's Runners ,Informe sua distância: Corrida 5Km
13/06/1989,MASCULINO,SOROCABA,Projeto vamos viver bem,Informe sua distância: Corrida 10Km
28/02/1991,FEMININO,SALTO DE PIRAPORA,,Informe sua distância: Corrida 5Km
26/12/1996,FEMININO,SALTO DE PIRAPORA,,Informe sua distância: Corrida 5Km
28/10/1972,FEMININO,ARACOIABA DA SERRA,,Informe sua distância: Corrida 5Km
12/07/1979,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
21/08/2017,MASCULINO,ITU,Na vida e na corrida team ,Informe sua distância: Caminhada 3Km
26/07/1991,FEMININO,ITU,Na vida e na corrida team ,Informe sua distância: Caminhada 3Km
21/08/1984,MASCULINO,ITU,Na vida e na corrida team ,Informe sua distância: Caminhada 3Km
31/08/1967,MASCULINO,SOROCABA,,Informe sua distância: Caminhada 3Km
12/02/1984,FEMININO,Sorocaba,Fields,Informe sua distância: Corrida 10Km
25/02/1986,MASCULINO,SOROCABA,Fields,Informe sua distância: Corrida 10Km
19/03/1994,FEMININO,CAMPINAS,Avulso,Informe sua distância: Corrida 5Km
16/09/1990,MASCULINO,CAMPINAS,Avulso,Informe sua distância: Corrida 5Km
26/10/1959,MASCULINO,OSASCO,,Informe sua distância: Corrida 5Km
25/01/1989,FEMININO,SOROCABA,Renzis ,Informe sua distância: Corrida 5Km
09/03/1979,MASCULINO,SOROCABA,Renzis,Informe sua distância: Corrida 5Km
11/04/1999,FEMININO,MAIRINQUE,,Informe sua distância: Corrida 5Km
27/09/1988,MASCULINO,SOROCABA,FATTO ,Informe sua distância: Corrida 5Km
04/08/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
23/02/1999,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
28/12/1994,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 5Km
12/08/1983,FEMININO,SAO PAULO,,Informe sua distância: Corrida 5Km
02/04/1991,FEMININO,SALTO,,Informe sua distância: Corrida 10Km
09/02/1981,FEMININO,TAPIRAI,,Informe sua distância: Caminhada 3Km
03/04/1993,FEMININO,ITAPETININGA,,Informe sua distância: Caminhada 3Km
28/04/1977,FEMININO,SOROCABA,ADC ZF/ Divas que correm,Informe sua distância: Corrida 5Km
20/12/1968,MASCULINO,Sorocaba,ADVANCE,Informe sua distância: Corrida 10Km
27/05/1999,FEMININO,SOROCABA,ADVANCE,Informe sua distância: Corrida 5Km
12/02/1997,MASCULINO,Sorocaba,ADVANCE,Informe sua distância: Corrida 10Km
29/11/1997,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
08/01/1987,MASCULINO,ALUMINIO,,Informe sua distância: Corrida 5Km
02/11/1988,MASCULINO,PILAR DO SUL,,Informe sua distância: Corrida 5Km
11/09/1977,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
01/06/1980,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
05/01/2011,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
31/07/1987,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
20/08/1986,MASCULINO,VOTORANTIM,ATLAN,Informe sua distância: Corrida 5Km
24/10/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
18/01/1994,MASCULINO,SOROCABA,AVULSOS,Informe sua distância: Corrida 5Km
05/12/1980,FEMININO,VOTORANTIM,,Informe sua distância: Caminhada 3Km
10/05/1994,FEMININO,CAPELA DO ALTO,avulso ,Informe sua distância: Corrida 10Km
29/05/1970,FEMININO,PIEDADE,,Informe sua distância: Corrida 10Km
07/08/1984,MASCULINO,SOROCABA,Douglas,Informe sua distância: Corrida 5Km
13/01/1984,FEMININO,SOROCABA,Aline,Informe sua distância: Corrida 5Km
13/07/1988,MASCULINO,SOROCABA,Let?s Running,Informe sua distância: Corrida 5Km
08/01/1998,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
11/05/1961,FEMININO,PILAR DO SUL,Antunes Proenca,Informe sua distância: Corrida 5Km
04/02/1971,FEMININO,ITU,,Informe sua distância: Corrida 5Km
10/11/1971,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
16/11/1981,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
08/07/1966,MASCULINO,PORTO FELIZ,,Informe sua distância: Corrida 10Km
30/06/1980,MASCULINO,BOITUVA,,Informe sua distância: Corrida 10Km
11/10/2015,MASCULINO,MAIRINQUE,COLMEIA KAAM,Informe sua distância: Caminhada 3Km
10/01/1987,MASCULINO,MAIRINQUE,COLMEIA KAAM,Informe sua distância: Corrida 10Km
01/01/1988,FEMININO,MAIRINQUE,COLMEIA KAAM,Informe sua distância: Corrida 10Km
27/02/1965,FEMININO,PORTO FELIZ,,Informe sua distância: Caminhada 3Km
13/05/1977,FEMININO,IBIUNA,Vamucorreibiuna,Informe sua distância: Caminhada 3Km
26/07/1979,FEMININO,SOROCABA,Geane Mocci,Informe sua distância: Corrida 5Km
07/06/2003,MASCULINO,SAO ROQUE,Equipe Bill,Informe sua distância: Corrida 5Km
13/01/1982,FEMININO,PIRAPORA DO BOM JESUS,,Informe sua distância: Corrida 5Km
29/09/1957,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
06/11/1989,FEMININO,SARAPUI,,Informe sua distância: Corrida 5Km
27/04/1969,FEMININO,SOROCABA,FT assessoria ,Informe sua distância: Caminhada 3Km
19/03/1999,MASCULINO,SOROCABA,MED UNIP T3,Informe sua distância: Corrida 5Km
10/02/2003,FEMININO,SOROCABA,MED UNIP T3 ,Informe sua distância: Corrida 5Km
16/11/1994,MASCULINO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 10Km
17/12/1975,MASCULINO,SAO ROQUE,Los corredores ,Informe sua distância: Corrida 5Km
26/12/1989,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
03/11/1967,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
26/11/1976,FEMININO,VOTORANTIM,MOOD ,Informe sua distância: Corrida 5Km
08/04/1979,MASCULINO,Sorocaba,Carlos milagre23#,Informe sua distância: Corrida 10Km
29/02/1956,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
17/12/2001,MASCULINO,SOROCABA,Web Treino,Informe sua distância: Corrida 5Km
10/04/1990,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
12/03/1992,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
30/01/2006,MASCULINO,SOROCABA,MED UNIP T3,Informe sua distância: Corrida 5Km
16/01/1974,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
19/04/1974,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
22/01/1990,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
25/11/1997,FEMININO,PIEDADE,,Informe sua distância: Corrida 10Km
13/05/1996,MASCULINO,PILAR DO SUL,,Informe sua distância: Corrida 5Km
16/06/1973,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
27/05/1977,MASCULINO,SOROCABA,MOVE TEAM,Informe sua distância: Corrida 5Km
07/12/1996,MASCULINO,SOROCABA,Let?s Running,Informe sua distância: Corrida 10Km
24/06/1978,FEMININO,Sorocaba,Divas que correm,Informe sua distância: Corrida 5Km
01/11/1987,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
19/11/1997,MASCULINO,ITU,,Informe sua distância: Corrida 5Km
28/12/2008,MASCULINO,OSASCO,Alta Performace,Informe sua distância: Corrida 5Km
17/12/1993,FEMININO,BARUERI,Alta Performace,Informe sua distância: Corrida 5Km
04/03/1991,MASCULINO,ARACARIGUAMA,Alta Performace,Informe sua distância: Corrida 5Km
15/03/2015,MASCULINO,SAO PAULO,,Informe sua distância: Caminhada 3Km
17/06/1981,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
28/10/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
20/07/1994,FEMININO,TATUI,,Informe sua distância: Corrida 5Km
03/09/1967,FEMININO,VOTORANTIM,AVULSO,Informe sua distância: Corrida 5Km
23/09/1999,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
18/02/1999,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
23/08/1976,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
11/05/1996,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
22/06/1994,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
14/08/1991,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
08/05/2008,MASCULINO,BOITUVA,,Informe sua distância: Caminhada 3Km
15/09/1994,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
30/09/1983,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
01/05/1981,FEMININO,IPERO,Amanda Libaneo,Informe sua distância: Corrida 5Km
18/08/1970,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
30/11/1998,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
11/10/1975,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
04/08/1970,MASCULINO,OSASCO,Capoteiros,Informe sua distância: Corrida 10Km
28/04/1976,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
09/06/1961,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
28/07/1989,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
14/01/1975,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
31/01/1989,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
05/05/2005,FEMININO,SOROCABA,Hajuste Treinamento esportivo,Informe sua distância: Corrida 5Km
25/10/1990,MASCULINO,PORTO FELIZ,CWB Runner ,Informe sua distância: Corrida 5Km
20/02/1970,MASCULINO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
05/05/1995,MASCULINO,PORTO FELIZ,CWB Runner ,Informe sua distância: Corrida 5Km
12/02/1993,MASCULINO,SOROCABA,Running Couple,Informe sua distância: Corrida 5Km
02/09/1985,FEMININO,SOROCABA,Running Couple ,Informe sua distância: Corrida 5Km
20/02/1998,MASCULINO,PILAR DO SUL,Pilar do Sul,Informe sua distância: Corrida 5Km
15/07/1997,MASCULINO,ITU,,Informe sua distância: Caminhada 3Km
05/10/1999,FEMININO,SALTO,,Informe sua distância: Caminhada 3Km
04/09/1982,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 10Km
07/01/1991,MASCULINO,VOTORANTIM,ACM/FEFISO,Informe sua distância: Corrida 10Km
16/11/1966,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/01/1973,FEMININO,SOROCABA,Fast Corredores ,Informe sua distância: Corrida 10Km
31/07/1976,FEMININO,SOROCABA,CZN ,Informe sua distância: Corrida 5Km
30/04/1976,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
16/08/1996,MASCULINO,Sorocaba,,Informe sua distância: Corrida 10Km
01/09/1973,FEMININO,Sorocaba,Move Team,Informe sua distância: Corrida 5Km
25/11/1968,MASCULINO,SAO ROQUE,Runfitone Assessoria Esportiva ,Informe sua distância: Corrida 10Km
24/12/1985,MASCULINO,São Roque,Runfitone Assessoria Esportiva ,Informe sua distância: Corrida 10Km
11/11/1982,MASCULINO,SAO ROQUE,Live!+,Informe sua distância: Corrida 10Km
09/07/1971,MASCULINO,SAO ROQUE,Runfitone Assertivo Esportiva,Informe sua distância: Corrida 10Km
30/07/1981,MASCULINO,ARACARIGUAMA,Alta Performance ,Informe sua distância: Corrida 5Km
05/10/1975,MASCULINO,SOROCABA,Éden Race Sorocaba ,Informe sua distância: Corrida 10Km
05/02/2001,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
03/08/1982,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
09/01/1996,FEMININO,Boituva,,Informe sua distância: Corrida 10Km
03/01/1970,MASCULINO,SAO ROQUE,Run Fit One assesoria esportiva,Informe sua distância: Corrida 5Km
29/08/1966,FEMININO,SAO ROQUE,RUN FIT ONE ASSESSORIA,Informe sua distância: Corrida 5Km
28/06/1998,MASCULINO,SAO ROQUE,Run Fit One assesoria esportiva,Informe sua distância: Corrida 5Km
02/07/1998,FEMININO,São Roque,RUN FIT ONE ASSESORIA ESPORTIVA,Informe sua distância: Corrida 5Km
05/07/1976,MASCULINO,SARAPUI,ATLETISMO SARAPUI,Informe sua distância: Corrida 5Km
12/07/1962,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
16/12/1999,MASCULINO,ANGATUBA,,Informe sua distância: Corrida 10Km
20/02/2003,FEMININO,PIEDADE,,Informe sua distância: Corrida 10Km
06/09/1972,MASCULINO,SAO ROQUE,Runfitone,Informe sua distância: Corrida 5Km
10/10/1998,MASCULINO,SOROCABA,Pasqualini Odontologia,Informe sua distância: Corrida 5Km
31/10/2000,FEMININO,SOROCABA,Caws Co,Informe sua distância: Corrida 5Km
08/06/2001,FEMININO,SOROCABA,Caws Co,Informe sua distância: Corrida 5Km
19/08/1995,MASCULINO,SOROCABA,Nenhuma ,Informe sua distância: Corrida 5Km
02/03/1985,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
08/05/1982,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
26/04/1985,MASCULINO,Sorocaba,Marcos Salvador,Informe sua distância: Corrida 5Km
13/07/1985,MASCULINO,SALTO DE PIRAPORA,Nutricio,Informe sua distância: Corrida 5Km
29/06/1984,FEMININO,SALTO DE PIRAPORA,Nutricio,Informe sua distância: Corrida 5Km
22/06/1986,FEMININO,SOROCABA,Ascan,Informe sua distância: Corrida 5Km
15/06/1976,FEMININO,SOROCABA,Caws Co,Informe sua distância: Corrida 5Km
09/10/1991,MASCULINO,SOROCABA,CAPS,Informe sua distância: Corrida 10Km
21/04/1972,MASCULINO,ITU,Santistas corredores ,Informe sua distância: Corrida 5Km
31/07/1976,FEMININO,ITU,Santistas corredores ,Informe sua distância: Corrida 5Km
10/01/1979,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
05/01/1990,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
16/05/1991,FEMININO,PORTO FELIZ,Team Will Lisboa,Informe sua distância: Corrida 5Km
14/06/1994,FEMININO,ITU,,Informe sua distância: Corrida 5Km
27/01/1981,FEMININO,ITU,,Informe sua distância: Corrida 5Km
23/07/1982,FEMININO,ALUMINIO,,Informe sua distância: Corrida 5Km
25/02/1981,MASCULINO,ALUMINIO,,Informe sua distância: Corrida 10Km
19/08/1982,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
20/03/1971,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
23/11/1996,FEMININO,Cotia,Ferminos ,Informe sua distância: Corrida 5Km
19/11/1988,MASCULINO,COTIA,Fermino ,Informe sua distância: Corrida 5Km
02/01/1986,FEMININO,SOROCABA,Avulso ,Informe sua distância: Corrida 10Km
12/03/2003,MASCULINO,SOROCABA,Avulso ,Informe sua distância: Corrida 5Km
07/04/1978,MASCULINO,SAO ROQUE,Equipe Bill,Informe sua distância: Corrida 10Km
09/05/1983,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 10Km
11/06/1954,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
24/03/2015,MASCULINO,ALUMINIO,,Informe sua distância: Caminhada 3Km
16/03/1984,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
10/11/2008,FEMININO,IPERO,Loucos por corrida - Iperó ,Informe sua distância: Corrida 5Km
28/01/1984,MASCULINO,IPERO,Loucos por corrida - Iperó ,Informe sua distância: Corrida 5Km
28/09/1988,FEMININO,IPERO,Loucos por corrida - Iperó ,Informe sua distância: Corrida 5Km
24/02/1992,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
28/10/1987,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
13/03/1961,MASCULINO,SAO ROQUE,,Informe sua distância: Caminhada 3Km
24/04/1986,FEMININO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
19/09/1932,MASCULINO,SAO ROQUE,,Informe sua distância: Caminhada 3Km
21/06/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
08/07/1963,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
04/01/1983,MASCULINO,IBIUNA,,Informe sua distância: Corrida 10Km
13/06/1998,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
19/01/1966,MASCULINO,SAO PAULO,Tecaio Run,Informe sua distância: Corrida 5Km
19/12/1997,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
30/03/1980,FEMININO,SOROCABA,NA,Informe sua distância: Corrida 10Km
26/02/1981,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
13/03/1989,FEMININO,São Paulo,Explore Assessoria Esportiva,Informe sua distância: Corrida 10Km
04/04/1977,MASCULINO,SAO PAULO,Explore Assessoria Esportiva,Informe sua distância: Corrida 10Km
10/05/1986,FEMININO,SOROCABA,N/A,Informe sua distância: Corrida 5Km
15/12/1985,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
13/06/1998,MASCULINO,IBIUNA,MX RUN ,Informe sua distância: Corrida 5Km
22/05/1983,FEMININO,IBIUNA,MX RUN,Informe sua distância: Corrida 5Km
01/07/1992,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
27/10/1987,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 10Km
05/01/1997,MASCULINO,IBIUNA,MX RUN ,Informe sua distância: Corrida 5Km
23/01/2001,MASCULINO,SOROCABA,NexxusRun,Informe sua distância: Corrida 5Km
17/03/1988,MASCULINO,Sorocaba,,Informe sua distância: Corrida 10Km
07/11/1991,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
27/02/1963,FEMININO,SAO ROQUE,3km,Informe sua distância: Caminhada 3Km
27/07/1987,FEMININO,IBIUNA,Tean GB,Informe sua distância: Corrida 5Km
12/03/1958,FEMININO,SAO ROQUE,,Informe sua distância: Caminhada 3Km
26/04/1975,MASCULINO,SOROCABA,Avulso,Informe sua distância: Corrida 5Km
17/07/1983,FEMININO,SOROCABA,Mood run ,Informe sua distância: Corrida 5Km
03/10/1992,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
12/02/1991,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
21/05/1982,FEMININO,SOROCABA,Nocera,Informe sua distância: Corrida 5Km
02/08/1977,MASCULINO,SOROCABA,Nocera,Informe sua distância: Corrida 5Km
20/11/1981,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
