NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
04/12/2001,Masculino,Sorocaba,,5 KM
04/03/1999,Feminino,Araçoiaba da Serra,TRIZONE,5 KM
02/09/1987,Feminino,Sorocaba,Peixe Pro,5 KM
07/01/1991,Feminino,Sorocaba,,10 KM
27/03/2003,Feminino,Sorocaba,,5 KM
24/11/1993,Masculino,Sorocaba,,5 KM
26/04/1984,Feminino,Sorocaba,Casal que Corre,5 KM
05/07/2005,Masculino,Sorocaba,,5 KM
29/11/1995,Masculino,Sorocaba,,5 KM
16/08/2003,Feminino,Sorocaba,Elite,5 KM
13/10/1991,Masculino,Votorantim,,10 KM
09/07/2004,Masculino,Sorocaba,UDG,5 KM
12/09/1979,Feminino,Sorocaba,Ifrunning,5 KM
27/01/1998,Feminino,Sorocaba,ACM fefiso,5 KM
10/06/1990,Feminino,Capela do Alto,"Não pensa, só corre",5 KM
08/02/1990,Feminino,Araçoiaba da Serra,,5 KM
17/05/2004,Feminino,Sorocaba,,5 KM
29/07/1992,Masculino,Votorantim,Force Running,5 KM
25/04/1986,Feminino,Votorantim,Salão Daiane  Madureira,5 KM
19/05/1987,Masculino,Votorantim,,5 KM
02/11/1985,Masculino,Sorocaba,,5 KM
07/05/1995,Feminino,Sorocaba,,5 KM
23/07/1977,Feminino,Capela do Alto,,5 KM
27/08/1994,Feminino,Sorocaba,AVULSO,5 KM
24/04/1998,Feminino,Capela do Alto,Não pensa só corre,5 KM
10/03/1987,Masculino,Sorocaba,Avulso,5 KM
26/10/2004,Feminino,Iperó,Cornetas Running,10 KM
23/03/1983,Feminino,Iperó,Cornetas Running,10 KM
31/08/1985,Feminino,Sorocaba,DIVAS QUE CORREM,5 KM
26/10/1989,Masculino,Sorocaba,Pace Freakes,5 KM
29/12/1966,Masculino,Sorocaba,fotojj- kaizem locacoes,5 KM
04/02/1976,Feminino,Capela do Alto,,5 KM
08/03/1990,Masculino,Sorocaba,,10 KM
18/04/1996,Feminino,Piedade,Open Run,10 KM
12/07/1995,Feminino,Piedade,OPEN RUN,10 KM
14/01/1986,Masculino,Sorocaba,ACM/FEFISO,10 KM
03/05/1997,Feminino,Votorantim,Peprun,10 KM
03/10/1989,Feminino,Sorocaba,,5 KM
02/01/1989,Feminino,Sorocaba,Garagem WD,10 KM
11/02/1982,Masculino,Sorocaba,World esportes,10 KM
26/02/1985,Masculino,Sorocaba,Titanium Runners,10 KM
25/02/1977,Feminino,Sorocaba,Titanium Runners,10 KM
28/08/1959,Masculino,Sorocaba,Titanium Runners,3 KM CAMINHADA
09/06/1960,Feminino,Sorocaba,Titanium Runners,10 KM
27/03/1976,Feminino,Sorocaba,,10 KM
12/12/1988,Feminino,Sorocaba,Garagem wd,10 KM
05/03/1989,Masculino,Sorocaba,LIVE,10 KM
23/12/1989,Masculino,Sorocaba,,5 KM
07/03/1984,Feminino,Sorocaba,FT ASSESSORIA,5 KM
01/12/1992,Feminino,Sorocaba,,5 KM
